file,file_size_mb,num_entities,processed_revisions,avg_revisions_per_entity,file_reading_sec,total_process_time_sec,peak_memory_mb
wikidatawiki-20250601-pages-meta-history14.xml-p24559678p24616491.bz2,264.5671901702881,56564,1499454,26.508980977300048,768.1947276592255,878.1646103858948,19836.40625
wikidatawiki-20250601-pages-meta-history25.xml-p70705664p70781447.bz2,642.4421138763428,75617,1135053,15.01055318248542,1929.7911121845245,2116.619868516922,15314.796875
wikidatawiki-20250601-pages-meta-history19.xml-p38285891p38309354.bz2,782.1220970153809,23447,524998,22.390838913293813,1646.6402428150177,1941.1767792701721,12434.93359375
wikidatawiki-20250601-pages-meta-history21.xml-p47830903p47879480.bz2,741.8259859085083,48476,1053584,21.734136479907583,1752.294612646103,1867.1499574184418,22807.6015625
wikidatawiki-20250601-pages-meta-history17.xml-p29821891p29870627.bz2,688.4882459640503,46382,1474972,31.80052606614635,831.164707660675,913.8549013137817,16332.88671875
wikidatawiki-20250601-pages-meta-history1.xml-p367p411.bz2,2774.6459760665894,34,58425,1718.3823529411766,1446.8949279785156,1648.7368528842926,53599.58203125
wikidatawiki-20250601-pages-meta-history27.xml-p103464675p103567543.bz2,301.48042488098145,91822,1475659,16.070865369954912,586.3144340515137,669.6144044399261,19871.36328125
wikidatawiki-20250601-pages-meta-history27.xml-p102057977p102144604.bz2,380.7201957702637,78030,1446359,18.53593489683455,881.0579364299774,984.6312685012817,11587.640625
wikidatawiki-20250601-pages-meta-history4.xml-p2145333p2168445.bz2,600.1319608688354,22526,1500199,66.59855278345023,1165.3950679302216,1174.8315801620483,12817.30859375
wikidatawiki-20250601-pages-meta-history8.xml-p9704800p9800411.bz2,333.9945297241211,57402,1500110,26.133409985714785,576.2224485874176,577.6587347984314,16554.20703125
wikidatawiki-20250601-pages-meta-history7.xml-p6471843p6520136.bz2,542.916145324707,35522,1494147,42.06258093575812,1037.7656331062317,1038.468403339386,16874.9296875
wikidatawiki-20250601-pages-meta-history6.xml-p4934034p4969436.bz2,538.9936542510986,32727,1498958,45.8018761267455,1029.240914106369,1068.5536217689514,15426.4375
wikidatawiki-20250601-pages-meta-history25.xml-p66440365p66495937.bz2,620.084547996521,54926,1292280,23.52765539088956,1618.9172003269196,1844.137983083725,14948.5078125
wikidatawiki-20250601-pages-meta-history16.xml-p28887912p28896865.bz2,1588.328119277954,8925,579221,64.89871148459383,1654.654177904129,1703.7176053524017,19310.2578125
wikidatawiki-20250601-pages-meta-history3.xml-p1566883p1586159.bz2,895.3055744171143,18865,1499918,79.50797773654917,1713.1878068447113,1714.6535377502441,24157.9765625
wikidatawiki-20250601-pages-meta-history6.xml-p5808107p5860791.bz2,464.68718433380127,40672,1499573,36.86991050354052,830.9609611034393,871.0543241500854,20145.859375
wikidatawiki-20250601-pages-meta-history19.xml-p39471027p39503149.bz2,810.3549289703369,31344,606361,19.345361153649822,1643.9385194778442,2310.1164014339447,32769.5390625
wikidatawiki-20250601-pages-meta-history24.xml-p60326257p60415760.bz2,754.0392541885376,87511,1476321,16.87011918501674,1172.7482631206512,1276.5930795669556,47965.140625
wikidatawiki-20250601-pages-meta-history26.xml-p86002052p86097825.bz2,1293.2836065292358,93800,1223311,13.041695095948826,1791.5109934806824,2888.2488403320312,72369.23828125
wikidatawiki-20250601-pages-meta-history23.xml-p57454787p57481437.bz2,2214.2774419784546,26434,506415,19.15771355073012,1635.159009695053,1669.89595413208,19941.8671875
wikidatawiki-20250601-pages-meta-history9.xml-p13347007p13418764.bz2,428.34002590179443,60246,1484052,24.633203864156958,673.2192599773407,687.8279545307159,14912.7421875
wikidatawiki-20250601-pages-meta-history26.xml-p83248598p83360248.bz2,2011.522192955017,111055,1297118,11.679960379991895,2541.6604809761047,3657.9739315509796,80157.59375
wikidatawiki-20250601-pages-meta-history26.xml-p83418789p83470333.bz2,2166.010277748108,51375,673645,13.112311435523115,1980.4681596755981,3514.020165681839,103537.7890625
wikidatawiki-20250601-pages-meta-history2.xml-p477079p485734.bz2,884.8079624176025,8285,1118613,135.0166566083283,1668.4977731704712,1669.419493675232,11802.31640625
wikidatawiki-20250601-pages-meta-history27.xml-p102840154p102903239.bz2,326.32341861724854,60066,1476909,24.588103086604736,631.8525288105011,726.7621548175812,32916.53125
wikidatawiki-20250601-pages-meta-history11.xml-p16495162p16524397.bz2,452.73179054260254,27472,1479972,53.87201514269074,585.5397908687592,587.0766260623932,15172.13671875
wikidatawiki-20250601-pages-meta-history4.xml-p2452435p2475906.bz2,576.6687965393066,22972,1500665,65.32583144697892,1121.4170920848846,1125.5819215774536,20327.15625
wikidatawiki-20250601-pages-meta-history4.xml-p2557590p2577726.bz2,731.274169921875,19596,1499841,76.5381200244948,1413.6056323051453,1414.8720746040344,14354.03125
wikidatawiki-20250601-pages-meta-history1.xml-p5245p7050.bz2,1696.0202732086182,1546,453675,293.4508408796895,1747.6270773410797,1754.5142750740051,22728.7265625
wikidatawiki-20250601-pages-meta-history23.xml-p57445861p57446472.bz2,3353.136255264282,610,81034,132.84262295081967,1775.9231498241425,1788.8492765426636,14356.734375
wikidatawiki-20250601-pages-meta-history23.xml-p55785693p55840079.bz2,560.7090291976929,51826,1462402,28.217535599891946,928.3543164730072,1046.344217300415,18539.40234375
wikidatawiki-20250601-pages-meta-history26.xml-p76785159p76910787.bz2,825.0858516693115,125236,1497072,11.95400683509534,1963.0421960353851,2096.555382013321,12952.80078125
wikidatawiki-20250601-pages-meta-history8.xml-p11318203p11495800.bz2,237.8575210571289,64597,1310271,20.283774788302864,481.4498026371002,481.98000502586365,15148.14453125
wikidatawiki-20250601-pages-meta-history1.xml-p228914p232900.bz2,1293.2261457443237,3946,561719,142.35149518499748,1769.2092895507812,1912.0504772663116,25671.03515625
wikidatawiki-20250601-pages-meta-history24.xml-p63100185p63114129.bz2,3794.175087928772,13586,258743,19.04482555571912,1789.8894019126892,2026.152913570404,60218.53125
wikidatawiki-20250601-pages-meta-history7.xml-p7650698p7691420.bz2,487.88436126708984,35444,1459411,41.17512131813565,845.0731148719788,853.8335561752319,16688.62109375
wikidatawiki-20250601-pages-meta-history23.xml-p59808593p59921888.bz2,732.2898931503296,112434,1474763,13.116699574861697,1789.5562448501587,1896.6398301124573,28140.734375
wikidatawiki-20250601-pages-meta-history20.xml-p42824264p42865178.bz2,773.1311016082764,40566,812285,20.02378839422176,1662.8726196289062,2061.882861852646,22424.09765625
wikidatawiki-20250601-pages-meta-history26.xml-p86486532p86574094.bz2,1519.968710899353,86785,1148106,13.229313821512934,2314.4806978702545,2435.437241792679,64530.77734375
wikidatawiki-20250601-pages-meta-history11.xml-p16766648p16814954.bz2,728.0491628646851,41821,1466823,35.0738385021879,1004.1069028377533,1004.9547708034515,24190.0859375
wikidatawiki-20250601-pages-meta-history2.xml-p704706p717137.bz2,946.9877080917358,12206,1237595,101.3923480255612,1715.4605722427368,1716.3962666988373,16158.72265625
wikidatawiki-20250601-pages-meta-history5.xml-p4210785p4246269.bz2,503.72927951812744,32288,1499259,46.433938305252724,1027.881634235382,1045.433747768402,16907.11328125
wikidatawiki-20250601-pages-meta-history27.xml-p107440236p107564203.bz2,1630.0953369140625,118201,1461072,12.360910652194145,1978.5624945163727,2154.1751947402954,34801.11328125
wikidatawiki-20250601-pages-meta-history27.xml-p96506213p96647492.bz2,653.237135887146,136111,1466915,10.777343491708972,1682.7578682899475,1774.1001317501068,17060.41015625
wikidatawiki-20250601-pages-meta-history25.xml-p72974730p73100798.bz2,705.8420257568359,125688,1356850,10.795382216281586,2322.0621631145477,2485.7627532482147,33078.30859375
wikidatawiki-20250601-pages-meta-history19.xml-p38071249p38096364.bz2,749.504433631897,25070,582275,23.225967291583565,1659.52525639534,1956.1690289974213,19346.203125
wikidatawiki-20250601-pages-meta-history27.xml-p122782264p123287268.bz2,769.5936574935913,496256,1468496,2.9591501160691256,2720.1603529453278,2770.2185213565826,9357.546875
wikidatawiki-20250601-pages-meta-history27.xml-p93254841p93439664.bz2,707.807788848877,184107,1493691,8.113167886066256,1943.0660064220428,2058.307891845703,11094.44921875
wikidatawiki-20250601-pages-meta-history19.xml-p36546872p36564912.bz2,751.4829988479614,17997,481880,26.7755737067289,1703.4983406066895,2016.5902981758118,15386.875
wikidatawiki-20250601-pages-meta-history22.xml-p51987072p52060314.bz2,870.400315284729,72401,1042614,14.400546953771357,2206.5352177619934,2622.7894492149353,19151.4453125
wikidatawiki-20250601-pages-meta-history27.xml-p112995996p113247226.bz2,572.8714017868042,234322,1484725,6.336259506149657,1406.7789616584778,1472.146094083786,22062.6328125
